åÎÇËÉpÉ^Å[Éìí∑,ñÑÇﬂçûÇ›ó¶,PSNR,åÎÇËó¶
8,100.0,51.13157143044206,50.10986328125
16,50.0,56.35111154477573,15.06500244140625
24,33.33333333333333,59.156499373626545,7.89642333984375
32,25.0,60.484073995253205,5.816650390625
40,20.0,61.520049592926284,4.58221435546875
48,16.666666666666664,62.372151361304056,3.765869140625
56,14.285714285714285,63.119147482704506,3.1707763671875
64,12.5,63.74287786388304,2.74658203125
72,11.11111111111111,64.30903204537186,2.410888671875
80,10.0,64.80033277737262,2.15301513671875
88,9.090909090909092,65.30916565674553,1.91497802734375
96,8.333333333333332,65.81507118376001,1.70440673828125
104,7.6923076923076925,66.24379778987829,1.544189453125
112,7.142857142857142,66.70518899170516,1.3885498046875
120,6.666666666666667,67.07873816008006,1.27410888671875
128,6.25,67.41942991155874,1.177978515625
