ñÑÇﬂçûÇ›îÕàÕ, ñÑÇﬂçûÇ›ó¶,PSNR,SSIM,åÎÇËó¶
1,100,51.13157143,0.996489345,50.10986328
1,88.88888889,52.51489597,0.997445805,36.44104004
1,80,53.27770945,0.997837437,30.57098389
1,72.72727273,54.09556865,0.998212182,25.32348633
1,66.66666667,54.69452071,0.998449602,22.06115723
1,61.53846154,55.14449256,0.998597341,19.88983154
1,57.14285714,55.56135235,0.998724676,18.06945801
1,53.33333333,55.97062409,0.998837117,16.44439697
1,50,56.35111154,0.998924811,15.06500244
1,47.05882353,56.7633232,0.999029745,13.7008667
1,44.44444444,57.15322944,0.999120722,12.52441406
1,42.10526316,57.55310469,0.999196974,11.42272949
1,40,57.93489483,0.999257586,10.46142578
1,38.0952381,58.35979424,0.999326579,9.48638916
1,36.36363636,58.73761635,0.999381419,8.695983887
1,34.7826087,58.96202504,0.999419975,8.258056641
1,33.33333333,59.15649937,0.999438867,7.89642334
1,32,59.34078615,0.999465038,7.568359375
1,30.76923077,59.51953339,0.999491161,7.263183594
1,29.62962963,59.69739133,0.999504841,6.971740723
1,28.57142857,59.86008923,0.999529463,6.715393066
1,27.5862069,60.0260434,0.999543779,6.463623047
1,26.66666667,60.18261929,0.999558862,6.234741211
1,25.80645161,60.33953857,0.999574053,6.01348877
1,25,60.484074,0.999582575,5.816650391
1,24.24242424,60.63004961,0.999604609,5.624389648
1,23.52941176,60.77378953,0.999615994,5.44128418
1,22.85714286,60.90609729,0.99962734,5.278015137
1,22.22222222,61.02704304,0.99963795,5.133056641
1,21.62162162,61.15810141,0.999650205,4.98046875
1,21.05263158,61.28364049,0.999656652,4.838562012
1,20.51282051,61.39883,0.999668371,4.711914063
1,20,61.52004959,0.999673102,4.582214355
1,19.51219512,61.6328597,0.999685189,4.46472168
1,19.04761905,61.74563074,0.999691178,4.350280762
1,18.60465116,61.8614083,0.99969987,4.235839844
1,18.18181818,61.96270606,0.999708813,4.138183594
1,17.77777778,62.07463128,0.999712808,4.032897949
1,17.39130435,62.16931771,0.999722759,3.945922852
1,17.0212766,62.26611462,0.999733712,3.858947754
1,16.66666667,62.37215136,0.999737641,3.765869141
1,16.32653061,62.4700297,0.999740477,3.681945801
1,16,62.57016491,0.999744471,3.598022461
1,15.68627451,62.66512697,0.99975451,3.520202637
1,15.38461538,62.7660638,0.99975888,3.439331055
1,15.09433962,62.85954783,0.999761324,3.366088867
1,14.81481481,62.94905525,0.999767909,3.297424316
1,14.54545455,63.03429335,0.999771719,3.233337402
1,14.28571429,63.11914748,0.999777955,3.170776367
1,14.03508772,63.20995878,0.999778222,3.105163574
1,13.79310345,63.28313203,0.99978236,3.053283691
1,13.55932203,63.36418808,0.999786775,2.996826172
1,13.33333333,63.44002982,0.999789822,2.944946289
1,13.1147541,63.51951077,0.99979662,2.891540527
1,12.90322581,63.59114383,0.999797176,2.844238281
1,12.6984127,63.66871947,0.999804077,2.793884277
1,12.5,63.74287786,0.999794477,2.746582031
1,12.30769231,63.8134173,0.999806442,2.702331543
1,12.12121212,63.90010571,0.999812004,2.648925781
1,11.94029851,63.98090701,0.999816653,2.600097656
1,11.76470588,64.06064351,0.999817043,2.55279541
1,11.5942029,64.13658478,0.999826451,2.508544922
1,11.42857143,64.18974267,0.999819638,2.478027344
1,11.26760563,64.25440309,0.999822012,2.44140625
1,11.11111111,64.30903205,0.999828227,2.410888672
1,10.95890411,64.37550699,0.999834586,2.374267578
1,10.81081081,64.44301526,0.999830947,2.337646484
1,10.66666667,64.5115895,0.999836055,2.301025391
1,10.52631579,64.5695736,0.999840391,2.270507813
1,10.38961039,64.62834236,0.999840762,2.239990234
1,10.25641026,64.6909176,0.999843302,2.207946777
1,10.12658228,64.74832084,0.999844335,2.178955078
1,10,64.80033278,0.999846599,2.153015137
1,9.87654321,64.86545491,0.999848106,2.12097168
1,9.756097561,64.92522837,0.999853243,2.09197998
1,9.638554217,64.985836,0.9998533,2.062988281
1,9.523809524,65.05708651,0.999858461,2.029418945
1,9.411764706,65.119576,0.999850431,2.000427246
1,9.302325581,65.18297778,0.99986302,1.971435547
1,9.195402299,65.24731888,0.999862807,1.942443848
1,9.090909091,65.30916566,0.999865158,1.914978027
1,8.988764045,65.37190592,0.999866608,1.887512207
1,8.888888889,65.43200461,0.999867877,1.861572266
1,8.791208791,65.49294664,0.999873191,1.835632324
1,8.695652174,65.56208589,0.999871258,1.806640625
1,8.602150538,65.62861741,0.99987376,1.779174805
1,8.510638298,65.69618403,0.999875919,1.751708984
1,8.421052632,65.76097687,0.999878504,1.725769043
1,8.333333333,65.81507118,0.999880727,1.704406738
1,8.24742268,65.86984779,0.999879236,1.683044434
1,8.163265306,65.92133794,0.999884385,1.663208008
1,8.080808081,65.97344588,0.999884174,1.643371582
1,8,66.02618664,0.999885973,1.623535156
1,7.920792079,66.07957575,0.999887683,1.60369873
1,7.843137255,66.13362938,0.999888266,1.583862305
1,7.766990291,66.17989848,0.999886225,1.567077637
1,7.692307692,66.24379779,0.999887064,1.544189453
1,7.619047619,66.29560291,0.999892414,1.525878906
1,7.547169811,66.35243139,0.99989362,1.50604248
1,7.476635514,66.41001335,0.999897073,1.486206055
1,7.407407407,66.46836904,0.999892272,1.466369629
1,7.339449541,66.53210312,0.999896628,1.445007324
1,7.272727273,66.60144379,0.999898669,1.422119141
1,7.207207207,66.6671761,0.999901593,1.400756836
1,7.142857143,66.70518899,0.999898759,1.388549805
1,7.079646018,66.77252282,0.999902474,1.3671875
1,7.01754386,66.81636672,0.999901532,1.35345459
1,6.956521739,66.86065776,0.999900885,1.33972168
1,6.896551724,66.92544184,0.999901527,1.319885254
1,6.837606838,66.97086527,0.99990658,1.306152344
1,6.779661017,67.00652601,0.999908156,1.295471191
1,6.722689076,67.05281005,0.999905871,1.281738281
1,6.666666667,67.07873816,0.999910709,1.274108887
1,6.611570248,67.11005761,0.999909701,1.264953613
1,6.557377049,67.15746439,0.999910347,1.251220703
1,6.504065041,67.19469746,0.999911371,1.240539551
1,6.451612903,67.24304243,0.999910387,1.226806641
1,6.4,67.28647224,0.999913587,1.214599609
1,6.349206349,67.33034074,0.999911844,1.202392578
1,6.299212598,67.36909258,0.999919023,1.191711426
1,6.25,67.41942991,0.999904192,1.177978516
1,6.201550388,67.46466933,0.999917543,1.165771484
1,6.153846154,67.51038496,0.999915923,1.153564453
1,6.106870229,67.54499028,0.999917383,1.14440918
1,6.060606061,67.59742084,0.999921404,1.13067627
1,6.015037594,67.65642915,0.999919863,1.11541748
1,5.970149254,67.68623671,0.999924633,1.107788086
1,5.925925926,67.74041136,0.999921678,1.094055176
1,5.882352941,67.79527034,0.999922184,1.080322266
1,5.839416058,67.83842274,0.999922669,1.069641113
1,5.797101449,67.88200821,0.999924187,1.058959961
1,5.755395683,67.91971853,0.999927282,1.049804688
1,5.714285714,67.9450419,0.99992466,1.043701172
1,5.673758865,67.99613596,0.999925574,1.031494141
1,5.633802817,68.04134174,0.999928905,1.020812988
1,5.594405594,68.08046763,0.999927972,1.011657715
1,5.555555556,68.11994922,0.999929194,1.002502441
1,5.517241379,68.17985286,0.999929455,0.988769531
1,5.479452055,68.23380318,0.999931708,0.9765625
1,5.442176871,68.26786566,0.999931556,0.968933105
1,5.405405405,68.28843213,0.999931681,0.964355469
1,5.369127517,68.33680274,0.999927704,0.953674316
1,5.333333333,68.36468691,0.999932594,0.947570801
1,5.298013245,68.39979579,0.999935828,0.939941406
1,5.263157895,68.42808869,0.999934099,0.933837891
1,5.22875817,68.47804917,0.999934214,0.923156738
1,5.194805195,68.5358596,0.99993539,0.910949707
1,5.161290323,68.59444997,0.999934423,0.898742676
1,5.128205128,68.63891737,0.999939067,0.889587402
1,5.095541401,68.68384478,0.999936163,0.880432129
1,5.063291139,68.72164263,0.999937282,0.872802734
1,5.031446541,68.73685436,0.999941267,0.869750977
1,5,68.78281188,0.999937575,0.860595703
1,4.968944099,68.82926093,0.999938906,0.85144043
1,4.938271605,68.87621214,0.9999389,0.842285156
1,4.90797546,68.89987947,0.9999398,0.83770752
1,4.87804878,68.93163789,0.999937092,0.831604004
1,4.848484848,68.96363026,0.999940701,0.825500488
1,4.819277108,69.02833082,0.999944376,0.813293457
1,4.790419162,69.05284422,0.999944505,0.80871582
1,4.761904762,69.07749676,0.999946493,0.804138184
1,4.733727811,69.11889788,0.999943498,0.796508789
1,4.705882353,69.1691059,0.999945355,0.787353516
1,4.678362573,69.19442926,0.999942003,0.782775879
1,4.651162791,69.24552332,0.99994966,0.773620605
1,4.624277457,69.30590287,0.999947593,0.762939453
1,4.597701149,69.34078615,0.999947284,0.756835938
1,4.571428571,69.39364211,0.999948548,0.747680664
1,4.545454545,69.42924022,0.999943652,0.741577148
1,4.519774011,69.45613161,0.999949126,0.736999512
1,4.494382022,69.48319054,0.99995193,0.732421875
1,4.469273743,69.51953339,0.99994944,0.726318359
1,4.444444444,69.55618293,0.999952016,0.720214844
1,4.419889503,69.60243411,0.99995178,0.712585449
1,4.395604396,69.64918316,0.999949531,0.704956055
1,4.371584699,69.6680246,0.999951698,0.701904297
1,4.347826087,69.70595449,0.999951675,0.695800781
1,4.324324324,69.76347778,0.999952246,0.686645508
1,4.301075269,69.80225433,0.999952514,0.680541992
1,4.278074866,69.85121702,0.999953592,0.672912598
1,4.255319149,69.89078855,0.999954224,0.666809082
1,4.232804233,69.92070562,0.999955536,0.662231445
1,4.210526316,69.96091836,0.999955215,0.65612793
1,4.188481675,69.99132416,0.999952624,0.651550293
1,4.166666667,70.03219924,0.999950633,0.645446777
1,4.14507772,70.07346269,0.999956674,0.639343262
1,4.12371134,70.1361024,0.999958794,0.630187988
1,4.102564103,70.1571847,0.999958438,0.62713623
1,4.081632653,70.18900128,0.999957352,0.622558594
1,4.060913706,70.22105268,0.999956003,0.617980957
1,4.04040404,70.26415919,0.99995721,0.611877441
1,4.020100503,70.29677219,0.999956014,0.607299805
1,4,70.3406407,0.999958608,0.601196289
1,3.980099502,70.36274224,0.999959341,0.598144531
1,3.96039604,70.38495684,0.999960254,0.595092773
1,3.9408867,70.44099562,0.9999581,0.587463379
