,Airplane.bmp,BARBARA.bmp,BOAT.bmp,BRIDGE.bmp,Building.bmp,Cameraman.bmp,girl.bmp,LAX.bmp,LENNA.bmp,Lighthouse.bmp,Text.bmp,WOMAN.bmp
100,0.623671619,0.72021183,0.606920567,0.821372736,0.719675071,0.592339374,0.570685481,0.75624254,0.610090725,0.665089537,0.742537898,0.61705134
88.88888889,0.663772572,0.766575245,0.651538912,0.858565163,0.765979341,0.6276067,0.62741593,0.798119312,0.657012519,0.709742107,0.787511681,0.669662386
80,0.689369704,0.790369754,0.677417164,0.876593872,0.790197862,0.653372394,0.659702217,0.821177033,0.685137669,0.733577273,0.81031372,0.699276593
72.72727273,0.716182131,0.815735489,0.704647792,0.893540562,0.814237198,0.682442078,0.692116505,0.842096427,0.714690162,0.758544137,0.831315717,0.730418677
66.66666667,0.734044131,0.830626454,0.726398977,0.904743976,0.83105455,0.70224481,0.718628681,0.858818819,0.73608457,0.776037596,0.847255128,0.751741967
61.53846154,0.74994077,0.843259128,0.740203666,0.913050777,0.842506084,0.718450319,0.735995138,0.866859865,0.752148383,0.790517924,0.857381058,0.766808061
57.14285714,0.763001517,0.852930509,0.755648395,0.91981592,0.852422584,0.732658793,0.753084652,0.876974433,0.765273721,0.801654717,0.866870445,0.78193243
53.33333333,0.780631154,0.864236099,0.774138798,0.926780361,0.863924468,0.750378687,0.769629277,0.886702908,0.782423071,0.815919757,0.87795125,0.798474634
50,0.792937569,0.875792411,0.790155783,0.932527659,0.875410515,0.768241089,0.787918181,0.897011196,0.798017009,0.829745057,0.888087846,0.812563254
47.05882353,0.80516784,0.882466088,0.79925472,0.937153628,0.8828139,0.777097439,0.799936161,0.903138069,0.807756565,0.838732916,0.893914083,0.822903496
44.44444444,0.813489467,0.889043694,0.808199035,0.942612763,0.888780557,0.7867263,0.807678707,0.908270968,0.816692175,0.847382952,0.900868543,0.832799234
42.10526316,0.822512582,0.896166047,0.818238662,0.946543684,0.896843673,0.799470475,0.82034736,0.914631091,0.827551077,0.85514236,0.90810575,0.843404943
40,0.834932226,0.904165193,0.830038158,0.950448945,0.903232839,0.810723146,0.833806253,0.921351901,0.838507294,0.86528131,0.913968395,0.853837278
38.0952381,0.844220798,0.910070935,0.84199748,0.954241791,0.910539289,0.821752282,0.84256875,0.926395519,0.849058746,0.873309103,0.920045364,0.862825681
36.36363636,0.854040933,0.916215584,0.85091621,0.958216138,0.916417332,0.831298694,0.853305477,0.931771246,0.857497546,0.8816054,0.926083565,0.872000947
34.7826087,0.859913457,0.919504199,0.856893917,0.960381663,0.920288007,0.837988226,0.860473324,0.934535335,0.86365118,0.886371693,0.929129547,0.876661405
33.33333333,0.863789002,0.923850025,0.861159591,0.961606012,0.923114499,0.843857342,0.863760693,0.937894157,0.868416891,0.890656947,0.931411653,0.881426762
32,0.868614456,0.926754904,0.866175906,0.962770365,0.926044532,0.849211907,0.868718814,0.939457272,0.872948909,0.892752296,0.933835693,0.885544318
30.76923077,0.872534889,0.928026999,0.871115124,0.964843884,0.928198425,0.852886352,0.87293127,0.942477572,0.877303159,0.896356385,0.936406646,0.889806359
29.62962963,0.87778902,0.931315891,0.874337247,0.966068945,0.931201445,0.85808801,0.877960316,0.944078487,0.882163847,0.90088164,0.939230639,0.892870452
28.57142857,0.880790759,0.933455336,0.877674854,0.967146096,0.93382212,0.862259325,0.882261291,0.946722081,0.88434422,0.904321971,0.940504679,0.89613206
27.5862069,0.885098059,0.935639345,0.881549737,0.968318006,0.934819993,0.866206657,0.885854104,0.947179341,0.88742586,0.90661078,0.942661443,0.898762634
26.66666667,0.888004092,0.93820999,0.885852917,0.969497034,0.937933446,0.870891678,0.889011304,0.949016792,0.89217629,0.909157726,0.943903079,0.903209636
25.80645161,0.890563823,0.938966923,0.887738173,0.970542889,0.938473629,0.873020294,0.891712609,0.951005441,0.894899155,0.911198656,0.945258733,0.905544644
25,0.89799844,0.947279687,0.894780746,0.971616764,0.945278145,0.882637125,0.900210842,0.954757863,0.904443065,0.919191815,0.9534501,0.911126058
24.24242424,0.896571329,0.942545501,0.894014422,0.972179439,0.942392096,0.881156605,0.897930357,0.953915351,0.899552626,0.917105854,0.949267675,0.911509389
23.52941176,0.899679559,0.944682934,0.898062111,0.972839794,0.944496493,0.883354317,0.900428891,0.955063718,0.903292475,0.918959963,0.950542674,0.914298015
22.85714286,0.901081664,0.945842074,0.898715664,0.973689141,0.945792456,0.886005601,0.902681919,0.956568362,0.905409699,0.919215995,0.951286741,0.914808412
22.22222222,0.905838478,0.94841118,0.903282902,0.97441233,0.947749431,0.890372472,0.907844177,0.957818812,0.910085261,0.924027909,0.953754732,0.917938287
21.62162162,0.909741486,0.949634121,0.908831536,0.975835206,0.949914619,0.896543281,0.910032108,0.959539966,0.913830696,0.927428694,0.955332868,0.922758891
21.05263158,0.908999631,0.949136198,0.90688296,0.975813687,0.949677978,0.89387676,0.911625095,0.960501455,0.912398003,0.926636793,0.955613341,0.922011204
20.51282051,0.911043414,0.951463164,0.910081734,0.976571813,0.951048556,0.897428511,0.912732134,0.961410355,0.914470782,0.928646564,0.956536158,0.923441895
20,0.912062379,0.953134313,0.910555878,0.977205721,0.951969678,0.898659512,0.915530889,0.962403685,0.916051058,0.930152858,0.957784194,0.925753552
19.51219512,0.915770653,0.95309972,0.912917148,0.977681967,0.953279064,0.901415931,0.917101996,0.963275173,0.919077873,0.93284574,0.95877455,0.927399387
19.04761905,0.92064092,0.954184538,0.917696147,0.978323686,0.955290374,0.907572885,0.92078922,0.964215653,0.922670466,0.935194431,0.959991552,0.930954592
18.60465116,0.925261902,0.957728448,0.922654394,0.979044187,0.957573569,0.912364941,0.925458244,0.965761214,0.927604926,0.938805782,0.962271228,0.934019076
18.18181818,0.921941851,0.958126172,0.919490775,0.979531519,0.956217404,0.907540778,0.921683375,0.965466602,0.925091454,0.936348946,0.96122266,0.93193893
17.77777778,0.923118232,0.957657508,0.920574674,0.979584467,0.956987782,0.910403653,0.92541356,0.966283592,0.924752766,0.937635247,0.962605536,0.934110388
17.39130435,0.923433277,0.958828556,0.921845252,0.980391976,0.95814337,0.911754886,0.926472456,0.966688305,0.926858701,0.939046256,0.963093788,0.935044435
17.0212766,0.926260185,0.959215219,0.924555409,0.980573569,0.958939373,0.91283693,0.926748338,0.968106984,0.928016029,0.939677649,0.964327255,0.936130351
16.66666667,0.926434559,0.960169382,0.924364151,0.981154031,0.960445453,0.915471011,0.929237843,0.969135085,0.931369917,0.940688449,0.964781504,0.938095206
16.32653061,0.928431819,0.961081156,0.926792291,0.981489555,0.960284811,0.916289079,0.930176975,0.969150416,0.930597687,0.942091019,0.965789097,0.937858654
16,0.929872837,0.963028977,0.929165548,0.982024447,0.96229248,0.920466801,0.932887092,0.970112577,0.934651504,0.944023556,0.966341439,0.940946744
15.68627451,0.93659959,0.965337002,0.936723361,0.982130046,0.964759693,0.928218315,0.936996586,0.97084737,0.939774807,0.950818379,0.968594642,0.945942462
15.38461538,0.934994531,0.964431979,0.934860536,0.982852416,0.964210691,0.924841005,0.937336598,0.971051334,0.936644488,0.948727949,0.968521862,0.945377341
15.09433962,0.933179094,0.963716214,0.932123531,0.982949915,0.963246858,0.923337821,0.935509327,0.97073826,0.935888697,0.946609419,0.96779705,0.942828964
14.81481481,0.93498679,0.965074445,0.933220296,0.983004137,0.964504177,0.923871204,0.936611704,0.971850207,0.937708333,0.948065532,0.968734873,0.943926068
14.54545455,0.934991065,0.964811991,0.93435905,0.98371315,0.964891871,0.925921976,0.938274594,0.972373928,0.938610499,0.947636204,0.968383589,0.944679343
14.28571429,0.936981837,0.966073845,0.934778652,0.983937445,0.966156739,0.926717792,0.938463947,0.973559793,0.938999175,0.950461578,0.970245729,0.945468978
14.03508772,0.939222787,0.967021659,0.938413368,0.984266296,0.966150181,0.929423116,0.941051964,0.974306922,0.941467876,0.949712676,0.970234112,0.948178331
13.79310345,0.938749771,0.965980356,0.935976039,0.984541019,0.966686891,0.92919793,0.940670678,0.973470787,0.941345837,0.950384497,0.970759875,0.948150092
13.55932203,0.939849111,0.967791066,0.937797442,0.985087577,0.967281579,0.929869457,0.942124486,0.974563502,0.94304969,0.951618972,0.971552081,0.949206642
13.33333333,0.941763417,0.968189236,0.93911734,0.984953343,0.967748806,0.931632541,0.942887105,0.974723695,0.943141208,0.9520992,0.971329631,0.950151799
13.1147541,0.942856752,0.969545172,0.939786984,0.98542517,0.968647168,0.932265268,0.943379827,0.975621244,0.944873349,0.952886073,0.972696795,0.950968663
12.90322581,0.943805178,0.970101563,0.943477936,0.98604025,0.969503759,0.93518336,0.946009432,0.975992912,0.947131879,0.955367028,0.973080276,0.952132618
12.6984127,0.948326213,0.971736538,0.946481121,0.986393855,0.971119371,0.939679784,0.948835763,0.976922368,0.949927017,0.957832563,0.974275116,0.955421816
12.5,0.948230063,0.976363452,0.94523791,0.987020488,0.975945263,0.943222613,0.952811504,0.982596461,0.952986479,0.959364081,0.977558524,0.958809004
12.30769231,0.948937457,0.97334172,0.948419909,0.986802808,0.972430908,0.941022373,0.950815902,0.97807479,0.952129923,0.959167191,0.975346145,0.956327487
12.12121212,0.948325062,0.972196851,0.947678814,0.986810148,0.971804262,0.939584137,0.949329953,0.978408606,0.950546371,0.958034941,0.975145608,0.956357025
11.94029851,0.948312375,0.971837527,0.946265082,0.986527429,0.971490513,0.939225555,0.948924967,0.977669272,0.950444957,0.958312462,0.974893887,0.955985284
11.76470588,0.947961774,0.972151653,0.947461477,0.987205564,0.971940653,0.94053929,0.950355237,0.978038852,0.951421581,0.959032203,0.975480933,0.957225389
11.5942029,0.949251552,0.973001851,0.948058952,0.9872948,0.972118564,0.94016144,0.951038462,0.978169515,0.951129964,0.959379835,0.97582121,0.956552084
11.42857143,0.949665309,0.972346101,0.948294279,0.987309303,0.972959731,0.942361455,0.951534409,0.979144783,0.952722013,0.959429237,0.976036698,0.957428166
11.26760563,0.951329231,0.97286307,0.94955623,0.987572006,0.973713432,0.943160802,0.953005782,0.979302542,0.952309576,0.960928519,0.976604255,0.958577394
11.11111111,0.951408188,0.974413619,0.951328984,0.98793599,0.973503828,0.94350819,0.953403103,0.979564349,0.952840364,0.961865316,0.976994589,0.958969859
10.95890411,0.954726149,0.976341663,0.951657145,0.988384856,0.974739712,0.947231454,0.95558061,0.979957082,0.955648166,0.963044993,0.977428509,0.959905314
10.81081081,0.952978628,0.974534029,0.952535624,0.987987022,0.975120292,0.946840326,0.955178751,0.980324564,0.955981597,0.962948028,0.977558409,0.960357352
10.66666667,0.953437317,0.974684338,0.952540612,0.988569815,0.97501846,0.947063396,0.95617359,0.980421796,0.956420154,0.96326109,0.977900624,0.960814289
10.52631579,0.955018146,0.97580819,0.952779462,0.988117735,0.975210577,0.946773825,0.95671393,0.980406711,0.955590072,0.963128778,0.977575001,0.960525202
10.38961039,0.955609711,0.975781919,0.953995806,0.988505057,0.976049494,0.948259842,0.956719591,0.981462507,0.956124999,0.965038977,0.978817846,0.962461923
