åÎÇËÉpÉ^Å[Éìí∑,ñÑÇﬂçûÇ›ó¶,PSNR,åÎÇËó¶
8,100.0,51.13157143044206,32840
16,50.0,56.35111154477573,9873
24,33.333333329999995,59.156499373626545,5175
32,25.0,60.484073995253205,3812
40,20.0,61.520049592926284,3003
48,16.666666669999998,62.372151361304056,2468
56,14.285714290000001,63.119147482704506,2078
64,12.5,63.74287786388304,1800
72,11.111111110000001,64.30903204537186,1580
80,10.0,64.80033277737262,1411
88,9.09090909,65.30916565674553,1255
96,8.33333333,65.81507118376001,1117
104,7.69230769,66.24379778987829,1012
112,7.14285714,66.70518899170516,910
120,6.666666670000001,67.07873816008006,835
128,6.25,67.41942991155874,772
136,5.88235294,67.7952703380184,708
144,5.55555556,68.11994921931829,657
152,5.2631578900000004,68.42808869346048,612
160,5.0,68.78281187508267,564
168,4.76190476,69.07749676279063,527
176,4.54545455,69.42924022229316,486
184,4.34782609,69.70595448827174,456
192,4.16666667,70.03219924116567,423
200,4.0,70.34064069666036,394
208,3.8461538500000003,70.62533925332549,369
216,3.7037037,70.9426617144884,343
224,3.57142857,71.29873208873205,316
232,3.4482758600000003,71.5388910316718,299
240,3.33333333,71.7777385596732,283
248,3.2258064500000003,71.99808011489202,269
256,3.125,72.23020111057654,255
