åÎÇËÉpÉ^Å[Éìí∑,ñÑÇﬂçûÇ›ó¶,PSNR,åÎÇËó¶
8,100.0,12.020656767340503,32840
16,50.0,11.149364350597677,9873
24,33.333333329999995,10.677016934552013,5175
32,25.0,10.192751715865933,3812
40,20.0,10.1394332523444,3003
48,16.666666669999998,10.040690426940435,2468
56,14.285714290000001,9.914623893387937,2078
64,12.5,10.119965670946662,1800
72,11.111111110000001,9.709703410103273,1580
80,10.0,9.665904786016053,1411
88,9.09090909,9.552410042765306,1255
96,8.33333333,9.334973769912246,1117
104,7.69230769,9.429164283975442,1012
112,7.14285714,9.379860177110794,910
120,6.666666670000001,9.328675343486532,835
128,6.25,9.293020662029702,772
