åÎÇËÉpÉ^Å[Éìí∑,ñÑÇﬂçûÇ›ó¶,PSNR,åÎÇËó¶
8,100.0,12.341139745548125,32840
16,50.0,11.91824192186322,9873
24,33.333333329999995,11.410552600973038,5175
32,25.0,11.2714260317466,3812
40,20.0,11.001678163395486,3003
48,16.666666669999998,10.851044563796044,2468
56,14.285714290000001,10.720028851584942,2078
64,12.5,11.201560868828725,1800
72,11.111111110000001,10.505707311879245,1580
80,10.0,10.45578241108399,1411
88,9.09090909,10.347744241606225,1255
96,8.33333333,10.326254626052222,1117
104,7.69230769,10.237708472607956,1012
112,7.14285714,10.228872622981104,910
120,6.666666670000001,10.189110220916096,835
128,6.25,10.320530674313925,772
