åÎÇËÉpÉ^Å[Éìí∑,ñÑÇﬂçûÇ›ó¶,PSNR,åÎÇËó¶
8,100.0,11.781658431679245,32840
16,50.0,10.916533896923578,9873
24,33.333333329999995,10.53199509058455,5175
32,25.0,10.339552241984515,3812
40,20.0,10.103115310926311,3003
48,16.666666669999998,9.926746101633917,2468
56,14.285714290000001,9.940618623533382,2078
64,12.5,10.029103896712373,1800
72,11.111111110000001,9.759974202665623,1580
80,10.0,9.615451707689987,1411
88,9.09090909,9.5791681753428,1255
96,8.33333333,9.565525507850259,1117
104,7.69230769,9.52263023572226,1012
112,7.14285714,9.392786009603364,910
120,6.666666670000001,9.435777080279419,835
128,6.25,9.645871281995404,772
